,ROADWAY_NAME,TXDOT_ROADWAY_DIRECTION,TXDOT_CROSS_STREET_QUAL,CROSS_STREET_NAME,LATITUDE_IB_CW,LATITUDE_OB_CCW,LONGITUDE_IB_CW,LONGITUDE_OB_CCW,COUNTY_NAME
0,BELTWAY 8-EAST,Southbound,At,WALLISVILLE,29.8085,29.8089,-95.1639,-95.1628,Harris
1,BELTWAY 8-EAST,Northbound,At,SPENCER HWY,29.6656,29.6656,-95.1558,-95.1556,Harris
2,BELTWAY 8-EAST,Northbound,At,GARRETT,29.883000000000003,29.883000000000003,-95.1984,-95.1984,Harris
3,BELTWAY 8-EAST,Southbound,At,GARRETT,29.883000000000003,29.883000000000003,-95.1984,-95.1984,Harris
4,BELTWAY 8-EAST,Northbound,At,FAIRMONT PKWY,29.6498,29.6498,-95.1562,-95.1561,Harris
5,BELTWAY 8-EAST,Southbound,At,WALLISVILLE,29.8085,29.8089,-95.1639,-95.1628,Harris
6,BELTWAY 8-NORTH,Eastbound,At,LEE RD,29.9396,29.9403,-95.3034,-95.3034,Harris
7,BELTWAY 8-NORTH,Eastbound,At,JOHN F KENNEDY BLVD,29.9392,29.9393,-95.3313,-95.3313,Harris
8,BELTWAY 8-NORTH,Westbound,At,JOHN F KENNEDY BLVD,29.9392,29.9393,-95.3313,-95.3313,Harris
9,BELTWAY 8-NORTH,Westbound,At,IH-69 EASTEX,29.9397,29.9402,-95.296,-95.2957,Harris
10,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
11,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
12,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
13,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
14,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
15,BELTWAY 8-NORTH,Westbound,At,IMPERIAL VALLEY DR,29.9391,29.9394,-95.3972,-95.3971,Harris
16,BELTWAY 8-NORTH,Eastbound,At,IH-45 NORTH,29.9405,29.9407,-95.4138,-95.4138,Harris
17,BELTWAY 8-NORTH,Eastbound,At,IMPERIAL VALLEY DR,29.9391,29.9394,-95.3972,-95.3971,Harris
18,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
19,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
20,BELTWAY 8-NORTH,Eastbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
21,BELTWAY 8-NORTH,Westbound,At,HARDY TOLL,29.9387,29.9389,-95.3812,-95.3813,Harris
22,BELTWAY 8-NORTH,Eastbound,At,GREENS CROSSING BLVD,29.9396,29.9398,-95.4246,-95.4246,Harris
23,BELTWAY 8-SOUTH,Eastbound,At,FM-865 CULLEN BLVD,29.598883,29.598883,-95.35329300000001,-95.35329300000001,Harris
24,BELTWAY 8-SOUTH,Westbound,At,FM-865 CULLEN BLVD,29.598883,29.598883,-95.35329300000001,-95.35329300000001,Harris
25,BELTWAY 8-SOUTH,Westbound,At,BEAMER,29.600908,29.600908,-95.228645,-95.228645,Harris
26,BELTWAY 8-SOUTH,Westbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris
27,BELTWAY 8-SOUTH,Westbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris
28,BELTWAY 8-SOUTH,Eastbound,At,W. FUQUA,29.605712,29.605712,-95.477028,-95.477028,Harris
29,BELTWAY 8-WEST,Northbound,At,US-90 ALTERNATE S. MAIN,29.6261,29.6263,-95.5181,-95.5176,Harris
30,BELTWAY 8-WEST,Southbound,At,FM-1093 WESTHEIMER RD,29.737,29.7369,-95.5575,-95.5577,Harris
31,BELTWAY 8-WEST,Southbound,At,BELLFORT,29.6535,29.6537,-95.5505,-95.5501,Harris
32,BELTWAY 8-WEST,Northbound,At,FONDREN,29.6204,29.6207,-95.5085,-95.5084,Harris
33,BELTWAY 8-WEST,Southbound,At,CLAY DR,29.831999999999997,29.831999999999997,-95.5637,-95.5639,Harris
34,BELTWAY 8-WEST,Southbound,At,LITTLE YORK RD,29.8673,29.8673,-95.5637,-95.5637,Harris
35,BELTWAY 8-WEST,Northbound,At,CLAY DR,29.831999999999997,29.831999999999997,-95.5637,-95.5639,Harris
36,BELTWAY 8-WEST,Northbound,At,BRIAR FOREST DR,29.7477,29.7477,-95.5577,-95.5579,Harris
37,BELTWAY 8-WEST,Northbound,At,TANNER RD,29.8503,29.8503,-95.5637,-95.5639,Harris
38,BS-290,Eastbound,At,FM-359,30.084159999999997,30.084159999999997,-96.03971,-96.03971,Waller
39,FM-1092,Northbound,At,5TH ST,29.591007,29.591007,-95.56416899999999,-95.56416899999999,Fort_Bend
40,FM-1092,Southbound,At,5TH ST,29.591007,29.591007,-95.56416899999999,-95.56416899999999,Fort_Bend
41,FM-1093,Eastbound,At,KATY GASTON RD,29.699102000000003,29.699102000000003,-95.79223,-95.79223,Fort_Bend
42,FM-1093,Eastbound,At,S MASON RD,29.703190000000003,29.703190000000003,-95.7429,-95.7429,Fort_Bend
43,FM-1128,Northbound,At,CHOCOLATE BAYOU RD CR 385,29.5005,29.5005,-95.34189,-95.34189,Brazoria
44,FM-1128,Southbound,At,CHOCOLATE BAYOU RD CR 385,29.5005,29.5005,-95.34189,-95.34189,Brazoria
45,FM-1458,Eastbound,At,BULLER RD,29.835520000000002,29.835520000000002,-96.03345,-96.03345,Waller
46,FM-1458,Westbound,At,BRAZOS RIVER/WALLER-AUSTIN COUNTY LINE,29.809009999999997,29.809009999999997,-96.09581999999999,-96.09581999999999,Waller
47,FM-1459,Northbound,At,FM-522,29.07855,29.07855,-95.6892,-95.6892,Brazoria
48,FM-1459,Southbound,At,FM-522,29.07855,29.07855,-95.6892,-95.6892,Brazoria
49,FM-1459,Northbound,At,SH-35,29.09771,29.09771,-95.68999000000001,-95.68999000000001,Brazoria
50,FM-1462,Northbound,At,Nordt Rd,29.313995000000002,29.313995000000002,-95.716061,-95.716061,Fort_Bend
51,FM-1462,Southbound,At,Nordt Rd,29.313995000000002,29.313995000000002,-95.716061,-95.716061,Fort_Bend
52,FM-1462,Eastbound,At,SH-36,29.298226,29.298226,-95.73357800000001,-95.73357800000001,Brazoria
53,FM-1463,Southbound,At,Churchill Farms Blvd/ Cardiff Ranch Dr,29.727921000000002,29.727921000000002,-95.84628199999999,-95.84628199999999,Fort_Bend
54,FM-1464,Northbound,At,W Bellfort Rd,29.662862,29.662862,-95.686577,-95.686577,Fort_Bend
55,FM-1464,Southbound,At,W Bellfort Rd,29.662862,29.662862,-95.686577,-95.686577,Fort_Bend
56,FM-1488,Eastbound,At,KICKAPOO RD,30.17543,30.17543,-95.87293000000001,-95.87293000000001,Waller
57,FM-1488,Eastbound,At,Lois Ln,30.22439791,30.22439143,-95.54742799,-95.54742799,Montgomery
58,FM-1488,Eastbound,At,WYATT CHAPEL RD,30.109740000000002,30.109740000000002,-96.03251999999999,-96.03251999999999,Waller
59,FM-1764,Eastbound,At,IH-45,29.40271,29.40271,-95.03284000000001,-95.03284000000001,Galveston
60,FM-1887,Northbound,At,FM-359,29.95015,29.95015,-96.03907,-96.03907,Waller
61,FM-1887,Northbound,At,FM-3346,30.05354,30.05354,-96.08144,-96.08144,Waller
62,FM-1887,Southbound,At,FM-3346,30.05354,30.05354,-96.08144,-96.08144,Waller
63,FM-1960,Eastbound,At,ELLA BLVD,30.014257,30.014257,-95.4506,-95.4506,Harris
64,FM-1960,Eastbound,At,FM 2100/CROSBY HUFFMAN RD,30.022921999999998,30.022921999999998,-95.089959,-95.089959,Harris
65,FM-2090,Eastbound,At,IH-69,30.232540000000004,30.232540000000004,-95.16471,-95.16471,Montgomery
66,FM-2855,Northbound,At,FM-529,29.874209999999998,29.874209999999998,-95.89059,-95.89059,Waller
67,FM-2855,Southbound,At,FM-529,29.874209999999998,29.874209999999998,-95.89059,-95.89059,Waller
68,FM-2855,Northbound,At,US-90,29.78602,29.78602,-95.88961,-95.88961,Waller
69,FM-2855,Southbound,At,US-90,29.78602,29.78602,-95.88961,-95.88961,Waller
70,FM-2919,Northbound,At,BATTLE RD,29.489656,29.489656,-96.026127,-96.026127,Fort_Bend
71,FM-2920,Eastbound,At,Park Rd,30.086976,30.086976,-95.65319000000001,-95.65319000000001,Harris
72,FM-2920,Westbound,At,Calvert Rd,30.089319,30.089319,-95.645204,-95.645204,Harris
73,FM-2920,Eastbound,At,BAUER RD,30.06823,30.06823,-95.78101600000001,-95.78101600000001,Harris
74,FM-2920,Westbound,At,BAUER RD,30.06823,30.06823,-95.78101600000001,-95.78101600000001,Harris
75,FM-2977,Northbound,At,JANDA RD,29.452059999999996,29.452059999999996,-95.790548,-95.790548,Fort_Bend
76,FM-2977,Southbound,At,HAND RD,29.475505,29.475505,-95.76467,-95.76467,Fort_Bend
77,FM-362,Northbound,At,WINTERS RD,30.186320000000002,30.186320000000002,-95.9321,-95.9321,Waller
78,FM-517,Eastbound,At,SH-3,29.46072726,29.46073959,-95.05178991,-95.05178991,Galveston
79,FM-518,Northbound,At,Kemah Oaks Dr,29.533125,29.533125,-95.024913,-95.024913,Galveston
80,FM-518,Southbound,At,Kemah Oaks Dr,29.533125,29.533125,-95.024913,-95.024913,Galveston
81,FM-521,Northbound,At,FORT BEND COUNTY RD CR 56,29.43889,29.43889,-95.47662,-95.47662,Brazoria
82,FM-521,Northbound,At,FM-1462,29.35401,29.35401,-95.46231999999999,-95.46231999999999,Brazoria
83,FM-522,Northbound,At,FM-1459,29.07855,29.07855,-95.6892,-95.6892,Brazoria
84,FM-529,Eastbound,At,STEFKA RD,29.9122,29.9122,-96.07184000000001,-96.07184000000001,Waller
85,FM-529,Westbound,At,BRAZOS RIVER/WALLER-AUSTIN COUNTY LINE,29.91527,29.91527,-96.11339,-96.11339,Waller
86,FM-529,Eastbound,At,FM-362,29.87412,29.87412,-95.95993,-95.95993,Waller
87,FM-529,Eastbound,At,FM-2855,29.87425,29.87425,-95.89059,-95.89059,Waller
88,HARDY TOLL ROAD,Northbound,At,RANKIN RD,29.965365999999996,29.965365999999996,-95.380081,-95.380081,Harris
89,HARDY TOLL ROAD,Southbound,At,CROSSTIMBERS ST,29.828891,29.828891,-95.354715,-95.354715,Harris
90,HARDY TOLL ROAD,Southbound,At,RANKIN RD,29.965365999999996,29.965365999999996,-95.380081,-95.380081,Harris
91,HARDY TOLL ROAD,Northbound,At,CROSSTIMBERS ST,29.828891,29.828891,-95.354715,-95.354715,Harris
92,HARDY TOLL ROAD,Southbound,At,RANKIN RD,29.965365999999996,29.965365999999996,-95.380081,-95.380081,Harris
93,HARDY TOLL ROAD,Southbound,At,BELTWAY 8-NORTH,29.938813,29.938813,-95.38131899999999,-95.38131899999999,Harris
94,HARDY TOLL ROAD,Northbound,At,BELTWAY 8-NORTH,29.938813,29.938813,-95.38131899999999,-95.38131899999999,Harris
95,HARDY TOLL ROAD,Northbound,At,LITTLE YORK RD,29.870715999999998,29.870715999999998,-95.364874,-95.364874,Harris
96,HARDY TOLL ROAD,Northbound,At,LITTLE YORK RD,29.870715999999998,29.870715999999998,-95.364874,-95.364874,Harris
97,HARDY TOLL ROAD,Southbound,At,BELTWAY 8-NORTH,29.938813,29.938813,-95.38131899999999,-95.38131899999999,Harris
98,HARDY TOLL ROAD,Northbound,At,ALDINE MAIL ROUTE,29.902209000000003,29.902209000000003,-95.372782,-95.372782,Harris
99,HARDY TOLL ROAD,Southbound,At,RICHEY RD,29.996,29.996,-95.396977,-95.396977,Harris
100,HARDY TOLL ROAD,Southbound,Before,FM-1960,30.026642,30.026642,-95.40443,-95.40443,Harris
101,HARDY TOLL ROAD,Northbound,At,RICHEY RD,29.996,29.996,-95.396977,-95.396977,Harris
102,HARDY TOLL ROAD,Southbound,At,RICHEY RD,29.996,29.996,-95.396977,-95.396977,Harris
103,HARDY TOLL ROAD,Southbound,At,Bammel/ Humble Westfield,30.022584000000002,30.022584000000002,-95.404613,-95.404613,Harris
104,HARDY TOLL ROAD,Northbound,At,FM-1960,30.026642,30.026642,-95.40443,-95.40443,Harris
105,HARDY TOLL ROAD,Southbound,At,IH-45 NORTH,30.105703000000002,30.105703000000002,-95.435041,-95.435041,Harris
106,HARDY TOLL ROAD,Southbound,At,RILEY FUZZEL,30.087770000000003,30.087770000000003,-95.412876,-95.412876,Harris
107,HARDY TOLL ROAD,Southbound,At,FM-1960,30.026642,30.026642,-95.40443,-95.40443,Harris
108,IH-10,Westbound,At,FM-359,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller
109,IH-10,Westbound,At,FM-1463,29.777419000000002,29.777419000000002,-95.83237,-95.83237,Fort_Bend
110,IH-10,Eastbound,At,FM-359,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller
111,IH-10,Westbound,At,PIN OAK,29.77753,29.77753,-95.819688,-95.819688,Fort_Bend
112,IH-10,Westbound,At,SH 36,29.7644,29.7644,-96.1527,-96.1527,Austin
113,IH-10,Eastbound,At,SH 36,29.7644,29.7644,-96.1527,-96.1527,Austin
114,IH-10,Eastbound,At,PEDERSON RD,29.77735,29.77735,-95.88115,-95.88115,Waller
115,IH-10,Westbound,At,PEDERSON RD,29.77735,29.77735,-95.88115,-95.88115,Waller
116,IH-10,Westbound,At,SH-146,29.821601,29.821601,-94.899159,-94.899159,Chambers
117,IH-10,Westbound,At,US 90/DONIGAN RD,29.782057000000002,29.782057000000002,-95.984576,-95.984576,Waller
118,IH-10,Eastbound,At,FM-359,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller
119,IH-10,Westbound,At,FM-359,29.779003000000003,29.779003000000003,-95.951424,-95.951424,Waller
120,IH-10,Eastbound,At,BRAZOS RIVER,29.7712,29.7712,-96.036,-96.036,Austin
121,IH-10,Eastbound,At,BRAZOS RIVER/WALLER-AUSTIN COUNTY LINE,29.771227000000003,29.771227000000003,-96.035924,-96.035924,Waller
122,IH-10 EAST,Westbound,At,MONMOUTH DR,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris
123,IH-10 EAST,Eastbound,At,MONMOUTH DR,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris
124,IH-10 EAST,Westbound,At,FEDERAL RD,29.7707,29.7706,-95.2137,-95.2137,Harris
125,IH-10 EAST,Eastbound,At,FEDERAL RD,29.7707,29.7706,-95.2137,-95.2137,Harris
126,IH-10 EAST,Eastbound,At,FEDERAL RD,29.7707,29.7706,-95.2137,-95.2137,Harris
127,IH-10 EAST,Eastbound,At,BELTWAY 8-EAST,29.7713,29.7711,-95.1534,-95.1534,Harris
128,IH-10 EAST,Eastbound,At,MONMOUTH DR,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris
129,IH-10 EAST,Eastbound,At,Westmont/Greens Bayou,29.77143124,29.77146849,-95.19704627,-95.19704627,Harris
130,IH-10 EAST,Eastbound,At,MC CARTY ST/US-90 ALTERNATE,29.7781,29.7779,-95.28399999999999,-95.28399999999999,Harris
131,IH-10 EAST,Westbound,At,MONMOUTH DR,29.79234172,29.79233977,-95.07967835,-95.07967835,Harris
132,IH-10 EAST,Westbound,At,GELLHORN DR,29.7771,29.7768,-95.2719,-95.272,Harris
133,IH-10 EAST,Eastbound,At,LOCKWOOD DR,29.7743,29.7741,-95.3152,-95.3152,Harris
134,IH-10 EAST,Westbound,At,LOCKWOOD DR,29.7743,29.7741,-95.3152,-95.3152,Harris
135,IH-10 EAST,Westbound,At,LOCKWOOD DR,29.7743,29.7741,-95.3152,-95.3152,Harris
136,IH-10 EAST,Westbound,At,JENSEN DR,29.770046999999998,29.770046999999998,-95.343522,-95.343522,Harris
137,IH-10 EAST,Eastbound,At,JENSEN DR,29.770046999999998,29.770046999999998,-95.343522,-95.343522,Harris
138,IH-10 EAST,Eastbound,At,CEDAR LN,29.7852,29.785,-95.1066,-95.1066,Harris
139,IH-10 EAST,Westbound,At,MARKET STREET RD/UVALDE RD,29.7708,29.7706,-95.1865,-95.1865,Harris
140,IH-10 EAST,Eastbound,At,MERCURY DR,29.7738,29.7736,-95.2474,-95.2474,Harris
141,IH-10 EAST,Westbound,At,S MAIN ST/S LYNCHBURG RD,29.7911,29.7908,-95.0573,-95.0573,Harris
142,IH-10 EAST,Eastbound,At,N. MAIN/ Crosby Cedar Bayou,29.808000000000003,29.8077,-94.9653,-94.9653,Harris
143,IH-10 EAST,Eastbound,At,N. MAIN/ Crosby Cedar Bayou,29.808000000000003,29.8077,-94.9653,-94.9653,Harris
144,IH-10 EAST,Westbound,At,Westmont/Greens Bayou,29.77143124,29.77146849,-95.19704627,-95.19704627,Harris
145,IH-10 KATY,Eastbound,At,GESSNER DR,29.784190000000002,29.784190000000002,-95.5439,-95.5439,Harris
146,IH-10 KATY,Westbound,At,BELTWAY 8-WEST,29.784259999999996,29.784259999999996,-95.5629,-95.5629,Harris
147,IH-10 KATY,Eastbound,At,TAYLOR ST,29.7776,29.7779,-95.3811,-95.3811,Harris
148,IH-10 KATY,Westbound,Before,IH-610 WEST LOOP/ US 290 Direct Connect,29.7805,29.7806,-95.4539,-95.4539,Harris
149,IH-10 KATY,Eastbound,At,SILBER RD,29.7839,29.7841,-95.4681,-95.4681,Harris
150,IH-10 KATY,Eastbound,At,BELTWAY 8-WEST,29.784259999999996,29.784259999999996,-95.5629,-95.5629,Harris
151,IH-10 KATY,Eastbound,At,T C JESTER BLVD,29.7773,29.7776,-95.41799999999999,-95.4179,Harris
